Date,Predicted_Price,Lower_Bound,Upper_Bound
2022-02-01,335.677,21.14,649.79
2022-02-02,337.655,23.978,654.681
2022-02-03,339.659,18.768,662.372
2022-02-04,341.681,22.154,661.994
2022-02-05,343.712,16.562,670.949
2022-02-06,345.746,24.028,674.784
2022-02-07,347.777,27.103,680.042
2022-02-08,349.801,23.909,677.669
2022-02-09,351.816,14.926,682.643
2022-02-10,353.822,13.332,688.658
2022-02-11,355.818,19.56,697.661
2022-02-12,357.81,21.981,701.525
2022-02-13,359.803,22.12,698.492
2022-02-14,361.803,23.724,701.499
2022-02-15,363.82,14.543,712.834
2022-02-16,365.864,23.274,716.912
2022-02-17,367.944,16.623,718.073
2022-02-18,370.074,18.086,717.976
2022-02-19,372.263,22.147,720.987
2022-02-20,374.524,25.194,731.277
2022-02-21,376.865,24.342,732.679
2022-02-22,379.295,21.036,740.038
2022-02-23,381.821,21.175,744.048
2022-02-24,384.446,23.307,754.401
2022-02-25,387.171,15.781,759.075
2022-02-26,389.994,16.027,761.502
2022-02-27,392.909,21.77,764.132
2022-02-28,395.907,17.628,771.719
